org_slug,org_name,other_org_names,source
208-productions-llc,208 Productions LLC,,2015 Part 2;2016 Part 2
1290-avenue-of-the-americas-a-tenancy-in-common,"1290 Avenue of the Americas, a Tenancy-In-Common",,2015 Part 2;2015 Exhibit A
845-un-limited-partnership,845 UN Limited Partnership,,2015 Part 2;2016 Part 2;2017 Part 2;2015 Exhibit A
a-c-n-inc,a c n inc,,2015 Part 2;2016 Part 2
caribusiness-investments-srl,"Caribusiness Investments, SRL",,2015 Part 2;2016 Part 2;2017 Part 2;2015 Exhibit A
country-apartments-llc,Country Apartments LLC,,2015 Part 2;2016 Part 2;2017 Part 2;2015 Exhibit A
country-properties-llc,Country Properties LLC,,2015 Part 2;2016 Part 2;2017 Part 2;2015 Exhibit A
how-to-get-rich,How to Get Rich,,2015 Part 2;2016 Part 2;2017 Part 2;
hwa-555-owners-llc,HWA 555 Owners LLC,,2015 Part 2;2016 Part 2;2017 Part 2;2015 Exhibit A
imsmfl-incorporated-for-samsung-electronics-america,IMSMFL Incorporated for Samsung Electronics America,,2016 Part 2
international-council-of-shopping-centers-inc,International Council of Shopping Centers Inc,,2016 Part 2
national-multifamily-housing-council,National Multifamily Housing Council,,2015 Part 2;2016 Part 2
never-give-up,Never Give Up,,2015 Part 2;2016 Part 2;2017 Part 2
peoples-realty-company-llc,People's Realty Company LLC,,2015 Part 2;2016 Part 2
ritz-carlton-hotel-at-112-central-park-south,Ritz Carlton Hotel at 112 Central Park South,,2015 Part 2;2016 Part 2;2017 Part 2
screen-actors-guild-pension,Screen Actors Guild Pension,,2015 Part 2;2016 Part 2;2017 Part 2
storage-106-llc,Storage 106 LLC,,2017 Part 2;2017 Exhibit A 
the-america-we-deserve,The America We Deserve,,2015 Part 2;2016 Part 2;2017 Part 2
the-art-of-the-comeback,The Art of the Comeback,,2015 Part 2;2016 Part 2;2017 Part 2
the-art-of-the-deal,The Art of the Deal,,2015 Part 2;2016 Part 2;2017 Part 2
the-way-to-the-top,The Way to the Top,,2015 Part 2;2016 Part 2;2017 Part 2
think-big-and-kick-ass,Think Big and Kick Ass,,2015 Part 2;2016 Part 2;2017 Part 2
think-like-a-billionare,Think Like a Billionare,,2015 Part 2;2016 Part 2;2017 Part 2
think-like-a-champion,Think Like a Champion,,2015 Part 2;2016 Part 2;2017 Part 2
time-to-get-tough,Time To Get Tough,,2015 Part 2;2016 Part 2;2017 Part 2
trump-surviving-at-the-top,Trump: Surviving at the Top,,2015 Part 2;2016 Part 2;2017 Part 2
trump-101-the-way-to-success,Trump 101: The Way to Success,,2015 Part 2;2016 Part 2;2017 Part 2
trump-model-management-llc,Trump Model Management LLC,TRUMP MODELS,2015 Part 2;2016 Part 2;2017 Part 2;2015 Exhibit A
trump-national-doral,Trump National Doral,,2015 Part 2;2016 Part 2;2017 Part 2;2015 Exhibit A
trump-national-golf-club-bedminster,Trump National Golf Club - Bedminster,,2015 Part 2;2016 Part 2;2017 Part 2;2015 Exhibit A
trump-national-golf-club-charlotte,Trump National Golf Club - Charlotte,,2015 Part 2;2016 Part 2;2017 Part 2;2015 Exhibit A
trump-national-golf-club-hudson-valley,Trump National Golf Club - Hudson Valley,,2015 Part 2;2016 Part 2;2017 Part 2;2015 Exhibit A
trump-national-golf-club-los-angeles,TRUMP NATIONAL GOLF CLUB- LOS ANGELES,,2015 Part 2;2016 Part 2;2017 Part 2;2015 Exhibit A
trump-national-golf-club-philadelphia,Trump National Golf Club - Philadelphia,,2015 Part 2;2016 Part 2;2017 Part 2;2015 Exhibit A
trump-tower-triplex,TRUMP TOWER TRIPLEX,,2015 Part 2;2016 Part 2;2017 Part 2
trump-turnberry,Trump Turnberry,,2015 Part 2;2016 Part 2;2017 Part 2;2015 Exhibit A
why-we-want-you-to-be-rich,Why We Want You To Be Rich,,2015 Part 2;2016 Part 2;2017 Part 2
