org_slug,org_name,other_org_names,source
4t-holdings-one-llc,4T Holdings One LLC,,2017 Exhibit A
4t-holdings-two-llc,4T Holdings Two LLC,,2017 Exhibit A
all-county-building-supply-maintenance-corp,All County Building Supply & Maintenance Corp,,2015 Exhibit A
beach-haven-apt-1-inc,Beach Haven Apt #1 Inc,,2015 Exhibit A
beach-haven-mgt-corp,Beach Haven Mgt Corp,,2015 Exhibit A
beach-haven-properties-no-3-inc,Beach Haven Properties No. 3 Inc.,,2015 Exhibit A
clyde-hall-inc,Clyde Hall Inc,,2015 Exhibit A
country-investors,Country Investors,,2015 Exhibit A
donald-j-trump-enterprises-llc,Donald J Trump Enterprises LLC,,2015 Exhibit A
donald-j-trump-enterprises-ii-llc,Donald J Trump Enterprises II LLC,,2015 Exhibit A
donald-j-trump-enterprises-iii-llc,Donald J Trump Enterprises III LLC,,2015 Exhibit A
malc-inc,Malc Inc.,,2015 Exhibit A
one-central-park-west-associates,One Central Park West Associates,,2015 Exhibit A
one-central-park-west-pt-associates,One Central Park West PT Associates,,2015 Exhibit A
t-express-llc,T Express LLC,,2017 Exhibit A
t-express-manager-member-corp,T Express Manager Member Corp,,2017 Exhibit A
the-trump-entrepreneur-initiative-llc-ny-domestic,The Trump Entrepreneur Initiative LLC (NY Domestic),,2015 Exhibit A
the-trump-hotel-corp,The Trump Hotel Corp,,2015 Exhibit A
trump-korea-llc,Trump Korea LLC,,2015 Exhibit A
trump-marks-batumi-managing-member-corp,Trump Marks Batumi Managing Member Corp,,2015 Exhibit A
hwa-1290-iii-llc,HWA 1290 III llc,,2015 Exhibit A
hwa-1290-iv-llc,HWA 1290 IV llc,,2015 Exhibit A
hwa-1290-v-llc,HWA 1290 V llc,,2015 Exhibit A
beach-haven-apartments-3-llc,Beach Haven Apartments #3 LLC,,2015 Exhibit A;2016 Exhibit A;2017 Exhibit A
beach-haven-shopping-center-llc,Beach Haven Shopping Center LLC,,2015 Exhibit A;2016 Exhibit A;2017 Exhibit A
sofo-realty-corp,Sofo Realty Corp,,2015 Exhibit A;2016 Exhibit A
tttt-venture-member-corp,TTTT Venture Member Corp,,2017 Exhibit A
tttt-venture-llc,TTTT Venture LLC,,2017 Exhibit A
