org_slug,incorp_jurisdiction,org_id,digital_doc,original_doc,original_doc_2,original_doc_2,officers,other_or_past_members,address_city,address_state,address_zip,notes
hwa-555-owners-llc,CA,200602010165,https://www.documentcloud.org/documents/3894388-HWA-555-Owners-LLC.html,,,,hudson-waterfront-associates-i-l-p,,Paramus,NJ,7652.0,
djt-holdings-inc,DE,2254219,https://www.documentcloud.org/documents/3868910-Djt-Holdings-Inc.html,,,,,,,,,
ultimate-air-corp,DE,2362448,https://www.documentcloud.org/documents/3869198-Ultimate-Air-Corp.html,,,,,,,,,
trump-empire-state-inc,DE,2375110,https://www.documentcloud.org/documents/3869396-Trump-Empire-State-Inc.html,,,,,,,,,
wexford-hall-inc,DE,2387236,https://www.documentcloud.org/documents/3869204-Wexford-Hall-Inc.html,,,,,,,,,
hudson-waterfront-associates-l-p,DE,2408738,https://www.documentcloud.org/documents/3869524-Hudson-Waterfront-Associates-L-P.html,,,,,,,,,
hudson-waterfront-associates-iv-l-p,DE,2453336,https://www.documentcloud.org/documents/3869525-Hudson-Waterfront-Associates-Iv-L-P.html,,,,,,,,,
hudson-waterfront-associates-iii-l-p,DE,2453345,https://www.documentcloud.org/documents/3869526-Hudson-Waterfront-Associates-Iii-L-P.html,,,,,,,,,
hudson-waterfront-associates-ii-l-p,DE,2453349,https://www.documentcloud.org/documents/3869527-Hudson-Waterfront-Associates-Ii-L-P.html,,,,,,,,,
hudson-waterfront-associates-i-l-p,DE,2453350,https://www.documentcloud.org/documents/3869528-Hudson-Waterfront-Associates-I-L-P.html,,,,,,,,,
hudson-waterfront-associates-v-l-p,DE,2453787,https://www.documentcloud.org/documents/3869523-Hudson-Waterfront-Associates-v-L-P.html,,,,,,,,,
mar-a-lago-club-inc,DE,2492565,https://www.documentcloud.org/documents/3869516-Mar-a-Lago-Club-Inc.html,,,,,,,,,
mar-a-lago-club-llc,DE,2493787,https://www.documentcloud.org/documents/3869515-Mar-a-Lago-Club-Llc.html,,,,,,,,,
trump-international-management-corp,DE,2640283,https://www.documentcloud.org/documents/3869375-Trump-International-Management-Corp.html,,,,,,,,,
miss-universe-lp-lllp-formerly-trump-pageants-lp,DE,2673903,https://www.documentcloud.org/documents/3869514-Miss-Universe-Lp-Lllp-Formerly-Trump-Pageants-Lp.html,,,,,,,,,
767-manager-llc,DE,2902010,https://www.documentcloud.org/documents/3868921-767-Manager-Llc.html,,,,,,,,,
vh-property-corp,DE,3291746,https://www.documentcloud.org/documents/3869201-VH-Property-Corp.html,,,,,,,,,
trump-chicago-managing-member-llc,DE,3473569,https://www.documentcloud.org/documents/3869411-Trump-Chicago-Managing-Member-Llc.html,,,,,,,,,
trump-chicago-development-llc,DE,3473572,https://www.documentcloud.org/documents/3869414-Trump-Chicago-Development-Llc.html,,,,,,,,,
trump-chicago-member-llc,DE,3473577,https://www.documentcloud.org/documents/3892684-Trump-Chicago-Member-LLC.html,,,,,,,,,
401-north-wabash-venture-llc,DE,3477659,https://www.documentcloud.org/documents/3868922-401-North-Wabash-Venture-Llc.html,,,,,,,,,
trump-park-avenue-llc,DE,3481810,https://www.documentcloud.org/documents/3869165-Trump-Park-Avenue-LLC.html,,,,,,,,,
rpv-development-llc,DE,3555506,https://www.documentcloud.org/documents/3869499-Rpv-Development-Llc.html,,,,,,,,,
lfb-acquisition-llc,DE,3563589,https://www.documentcloud.org/documents/3869518-Lfb-Acquisition-Llc.html,,,,,,,,,
trump-las-vegas-development-llc,DE,3575180,https://www.documentcloud.org/documents/3869368-Trump-Las-Vegas-Development-Llc.html,,,,,,,,,
trump-las-vegas-member-llc,DE,3575184,https://www.documentcloud.org/documents/3869363-Trump-Las-Vegas-Member-Llc.html,,,,,,,,,
trump-las-vegas-marketing-and-sales-llc,DE,3575214,https://www.documentcloud.org/documents/3869365-Trump-Las-Vegas-Marketing-and-Sales-Llc.html,,,,,,,,,
trump-las-vegas-managing-member-llc,DE,3575214,https://www.documentcloud.org/documents/3869362-Trump-Las-Vegasmanaging-Member-Llc.html,,,,,,,,,
trump-ruffin-llc,DE,3576669,https://www.documentcloud.org/documents/3869173-Trump-Ruffin-LLC.html,,,,,,,,,
trump-productions-llc-former-rancho-lien-llc,DE,3594736,https://www.documentcloud.org/documents/3868873-Trump-Productions-Llc-Former-Rancho-Lien-Llc.html,,,,,,,,,
trump-phoenix-development-llc,DE,3697611,https://www.documentcloud.org/documents/3869167-Trump-Phoenix-Development-LLC.html,,,,,,,,,
trump-brazil-llc,DE,3699311,https://www.documentcloud.org/documents/3869421-Trump-Brazil-Llc.html,,,,,,,,,
tiht-chicago-member-acquisition-llc,DE,3811745,https://www.documentcloud.org/documents/3869450-Tiht-Chicago-Member-Acquisition-Llc.html,,,,,,,,,
401-mezz-venture-llc,DE,3861328,https://www.documentcloud.org/documents/3868923-401-Mezz-Venture-Llc.html,,,,,,,,,
vhps-llc,DE,3889551,https://www.documentcloud.org/documents/3869202-VHPS-LLC.html,,,,,,,,,
trump-properties-llc,DE,3904345,https://www.documentcloud.org/documents/3869170-Trump-Properties-LLC.html,,,,,,,,,
trump-marks-llc,DE,3931961,https://www.documentcloud.org/documents/3869104-Trump-Marks-LLC.html,,,,,,,,,
trump-ruffin-tower-i-llc,DE,3952553,https://www.documentcloud.org/documents/3869174-Trump-Ruffin-Tower-I-LLC.html,,,,,,,,,
trump-marks-gp-corp,DE,3976619,https://www.documentcloud.org/documents/3869094-Trump-Marks-Gp-Corp.html,,,,,,,,,
trump-marks-holding-lp-fka-trump-marks-lp,DE,3978720,https://www.documentcloud.org/documents/3869095-Trump-Marks-Holding-LP-FKA-Trump-Marks-LP.html,,,,,,,,,
trump-florida-management-llc,DE,3983847,https://www.documentcloud.org/documents/3869389-Trump-Florida-Management-Llc.html,,,,,,,,,
trump-las-olas-member-corp,DE,3983850,https://www.documentcloud.org/documents/3869370-Trump-Las-Olas-Member-Corp.html,,,,,,,,,
trump-las-olas-llc,DE,3983851,https://www.documentcloud.org/documents/3869371-Trump-Las-Olas-Llc.html,,,,,,,,,
trump-florida-manager-corp,DE,3983852,https://www.documentcloud.org/documents/3869388-Trump-Florida-Manager-Corp.html,,,,,,,,,
trump-las-vegas-member-ii-llc,DE,4048754,https://www.documentcloud.org/documents/3869364-Trump-Las-Vegas-Member-Ii-Llc.html,,,,,,,,,
trump-las-vegas-managing-member-ii-llc,DE,4048755,https://www.documentcloud.org/documents/3869366-Trump-Las-Vegas-Managing-Member-Ii-Llc.html,,,,,,,,,
chicago-unit-acquisition-llc,DE,4078209,https://www.documentcloud.org/documents/3868914-Chicago-Unit-Acquisition-Llc.html,,,,,,,,,
trump-scotland-member-inc,DE,4117913,https://www.documentcloud.org/documents/3869177-Trump-Scotland-Member-Inc.html,,,,,,,,,
scotland-acquisitions-llc,DE,4129366,https://www.documentcloud.org/documents/3869498-Scotland-Acquisitions-Llc.html,,,,,,,,,
trump-productions-managing-member-inc,DE,4161219,https://www.documentcloud.org/documents/3869169-Trump-Productions-Managing-Member-Inc.html,,,,,,,,,
tihm-member-corp,DE,4173927,https://www.documentcloud.org/documents/3869451-Tihm-Member-Corp.html,,,,,,,,,
trump-international-hotels-management-llc,DE,4173930,https://www.documentcloud.org/documents/3869376-Trump-International-Hotels-Management-Llc.html,,,,,,,,,
trump-marks-real-estate-llc,DE,4263382,https://www.documentcloud.org/documents/3869134-Trump-Marks-Real-Estate-LLC.html,,,,,,,,,
809-north-canon-llc,DE,4266968,https://www.documentcloud.org/documents/3868920-809-North-Canon-Llc.html,,,,,,,,,
809-north-canon-member-corporation,DE,4267084,https://www.documentcloud.org/documents/3868919-809-North-Canon-Member-Corporation.html,,,,,,,,,
the-trump-marks-real-estate-corp,DE,4302157,https://www.documentcloud.org/documents/3869433-TRUMP-MARKS-REAL-ESTATE-CORP.html,,,,,,,,,
trump-cozumel-llc,DE,4318703,https://www.documentcloud.org/documents/3869403-Trump-Cozumel-Llc.html,,,,,,,,,
trump-cozumel-corp,DE,4319014,https://www.documentcloud.org/documents/3869404-Trump-Cozumel-Corp.html,,,,,,,,,
trump-marks-waikiki-llc,DE,4331299,https://www.documentcloud.org/documents/3869149-Trump-Marks-Waikiki-LLC.html,,,,,,,,,
trump-marks-hollywood-llc,DE,4331301,https://www.documentcloud.org/documents/3869097-Trump-Marks-Hollywood-LLC.html,,,,,,,,,
