year,org_slug,org_name
2016,4-shadow-tree-lane-llc,4 Shadow Tree Lane LLC
2016,4-shadow-tree-lane-member-corp,4 Shadow Tree Lane Member Corp
2016,40-wall-development-associates-llc,40 Wall Development Associates LLC
2016,40-wall-street-commercial-llc,40 Wall Street Commercial LLC
2016,40-wall-street-llc,40 Wall Street LLC
2016,40-wall-street-member-corp,40 Wall Street Member Corp
2016,401-mezz-venture-llc,401 Mezz Venture LLC
2016,401-north-wabash-venture-llc,401 North Wabash Venture LLC
2016,809-north-canon-llc,809 North Canon LLC
2016,809-north-canon-member-corporation,809 North Canon Member Corporation
2016,81-pine-note-holder-inc,81 Pine Note Holder Inc
2016,845-un-limited-partnership,845 UN Limited Partnership
2016,ace-entertainment-holdings-inc,"Ace Entertainment Holdings Inc (f/k/a Trump Casinos Inc. & Formerly Trump Taj Mahal, Inc)"
2016,all-county-building-supply-maintenance-corp,All County Building Supply & Maintenance Corp
2016,aviation-payroll-company,Aviation Payroll Company
2016,b-plaza-realty-corp,B Plaza Realty Corp.
2016,beach-haven-apartments-3-llc,Beach Haven Apartments #3 LLC
2016,beach-haven-apt-1-inc,Beach Haven Apt #1 Inc
2016,beach-haven-mgt-corp,Beach Haven Mgt Corp
2016,beach-haven-shopping-center-llc,Beach Haven Shopping Center LLC
2016,bedford-hills-corp,Bedford Hills Corp
2016,trump-briarcliff-manor-development-llc,Trump Briarcliff Manor Development LLC (Formerly Briar Hall Development LLC)
2016,briar-hall-operations-llc,Briar Hall Operations LLC
2016,briarcliff-properties-inc,"Briarcliff Properties, Inc"
2016,caribusiness-investments-s-r-l,"CARIBUSINESS INVESTMENTS, S.R.L."
2016,caribusiness-mre-llc,Caribusiness MRE LLC
2016,chelsea-hall-llc,Chelsea Hall LLC
2016,chicago-unit-acquisition-llc,Chicago Unit Acquisition LLC
2016,china-trademark-llc,China Trademark LLC
2016,clyde-hall-inc,Clyde Hall Inc
2016,coronet-hall-inc,Coronet Hall Inc.
2016,country-apartments-llc,Country Apartments LLC
2016,country-investors-llc,COUNTRY INVESTORS LLC
2016,country-properties-llc,Country Properties LLC
2016,d-b-pace-acquisition-member-corp,D B Pace Acquisition Member Corp
2016,d-b-pace-acquisition-llc,"D B Pace Acquisition, LLC"
2016,development-member-inc,Development Member Inc.
2016,dj-aerospace-bermuda-limited,DJ Aerospace (Bermuda) Limited
2016,djt-aerospace-llc,DJT Aerospace LLC
2016,djt-entrepreneur-managing-member-llc,DJT Entrepreneur Managing Member LLC (f/k/a DJT University Managing Member LLC)
2016,djt-entrepreneur-member-llc,DJT Entrepreneur Member LLC (f/k/a DJT University Member LLC)
2016,djt-holdings-llc,DJT Holdings LLC
2016,djt-holdings-managing-member-llc,DJT Holdings Managing Member LLC
2016,djt-land-holdings-member-corp,DJT Land Holdings Member Corp
2016,djt-operations-cx-llc,DJT Operations CX LLC
2016,djt-operations-i-llc,DJT Operations I LLC
2016,djt-operations-ii-llc,DJT Operations II LLC
2016,donald-j-trump-enterprises-llc,Donald J Trump Enterprises LLC
2016,donald-j-trump-enterprises-ii-llc,Donald J Trump Enterprises II LLC
2016,dsn-licensing-llc,DSN Licensing LLC (fka Trump Marks Network LLC)
2016,dsn-licensing-member-corp,DSN Licensing Member Corp (fka Trump Marks Network Member Inc)
2016,dt-app-warrant-holding-llc,DT APP Warrant Holding LLC
2016,dt-app-warrant-holding-managing-member-corp,DT APP Warrant Holding Managing Member Corp
2016,dt-connect-ii-llc,DT Connect II LLC
2016,dt-connect-ii-member-corp,DT Connect II Member Corp
2016,dt-connect-llc,DT Connect LLC
2016,dt-connect-managing-member-corp,DT Connect Managing Member Corp
2016,dt-dubai-golf-manager-llc,DT Dubai Golf Manager LLC
2016,dt-dubai-golf-manager-member-corp,DT Dubai Golf Manager Member Corp
2016,dt-dubai-ii-golf-manager-llc,DT Dubai II Golf Manager LLC
2016,dt-dubai-ii-golf-manager-member-corp,DT Dubai II Golf Manager Member Corp
2016,dt-home-marks-international-llc,DT Home Marks International LLC
2016,dt-home-marks-international-member-corp,DT Home Marks International Member Corp
2016,dt-india-venture-llc,DT India Venture LLC
2016,dt-india-venture-managing-member-corp,Dt India Venture Managing Member Corp
2016,dt-marks-baku-llc,DT Marks Baku LLC
2016,dt-marks-baku-managing-member-corp,DT Marks Baku Managing Member Corp
2016,dt-marks-dubai-ii-llc,DT Marks Dubai II LLC
2016,dt-marks-dubai-ii-member-corp,DT Marks Dubai II Member Corp
2016,dt-marks-dubai-llc,DT Marks Dubai LLC
2016,dt-marks-dubai-member-corp,DT Marks Dubai Member Corp
2016,dt-marks-gurgaon-llc,DT Marks Gurgaon LLC
2016,dt-marks-gurgaon-managing-member-corp,DT Marks Gurgaon Managing Member Corp
2016,dt-marks-jersey-city-llc,DT Marks Jersey City LLC
2016,dt-marks-jupiter-llc,DT Marks Jupiter LLC
2016,dt-marks-products-international-llc,DT Marks Products International LLC
2016,dt-marks-products-international-member-corp,DT Marks Products International Member Corp
2016,dt-marks-pune-ii-llc,DT MARKS PUNE II LLC
2016,dt-marks-pune-ii-managing-member-corp,DT Marks Pune II Managing Member Corp
2016,dt-marks-pune-llc,DT Marks Pune LLC
2016,dt-marks-pune-managing-member-corp,DT Marks Pune Managing Member Corp
2016,dt-marks-qatar-llc,DT Marks Qatar LLC
2016,dt-marks-qatar-member-corp,DT Marks Qatar Member Corp
2016,dt-marks-rio-llc,DT Marks Rio LLC
2016,dt-marks-rio-member-corp,DT Marks Rio Member Corp
2016,dt-marks-vancouver-lp,DT Marks Vancouver LP
2016,dt-marks-vancouver-member-corp,DT Marks Vancouver Member Corp
2016,dt-marks-worli-llc,DT Marks Worli LLC
2016,dt-marks-worli-member-corp,DT Marks Worli Member Corp
2016,dt-tower-gurgaon-llc,DT Tower Gurgaon LLC
