entityASlug,entityA,ownership,entityB,entityBSlug,role,year
4-shadow-tree-lane-llc,4 Shadow Tree Lane LLC,1,4 Shadow Tree Lane Member Corp,4-shadow-tree-lane-member-corp,Managing Member,2016
4-shadow-tree-lane-llc,4 Shadow Tree Lane LLC,99,DJT Holdings LLC,djt-holdings-llc,Member,2016
4-shadow-tree-lane-member-corp,4 Shadow Tree Lane Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
40-wall-development-associates-llc,40 Wall Development Associates LLC,0.1,"Parc Consulting, Inc",parc-consulting-inc,Member,2016
40-wall-development-associates-llc,40 Wall Development Associates LLC,99.9,"TRUMP, DONALD J.",trump-donald-j,Member,2016
40-wall-street-commercial-llc,40 Wall Street Commercial LLC,100,40 Wall Street LLC,40-wall-street-llc,Member,2016
40-wall-street-llc,40 Wall Street LLC,0.1,40 Wall Street Member Corp,40-wall-street-member-corp,Managing Member,2016
40-wall-street-llc,40 Wall Street LLC,99.9,40 Wall Development Associates LLC,40-wall-development-associates-llc,Member,2016
40-wall-street-member-corp,40 Wall Street Member Corp,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
401-mezz-venture-llc,401 Mezz Venture LLC,1,Trump Chicago Managing Member LLC,trump-chicago-managing-member-llc,Managing Member,2016
401-mezz-venture-llc,401 Mezz Venture LLC,49,Trump Chicago Member LLC,trump-chicago-member-llc,Member,2016
401-mezz-venture-llc,401 Mezz Venture LLC,50,TIHT Chicago Member Acquisition LLC,tiht-chicago-member-acquisition-llc,Member,2016
401-north-wabash-venture-llc,401 North Wabash Venture LLC,100,401 Mezz Venture LLC,401-mezz-venture-llc,Member,2016
809-north-canon-llc,809 North Canon LLC,1,809 North Canon Member Corporation,809-north-canon-member-corporation,,2016
809-north-canon-llc,809 North Canon LLC,99,DJT Holdings LLC,djt-holdings-llc,,2016
809-north-canon-member-corporation,809 North Canon Member Corporation,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
81-pine-note-holder-inc,81 Pine Note Holder Inc,100,"TRUMP, DONALD J.",trump-donald-j,Shareholder,2016
845-un-limited-partnership,845 UN Limited Partnership,60,Trump 845 LP LLC,trump-845-lp-llc,Partner,2016
845-un-limited-partnership,845 UN Limited Partnership,40,Trump 845 UN GP LLC,trump-845-un-gp-llc,Partner,2016
