1,4 SHADOW TREE LANE LLC *(5),,,,
,Owned by:,% Ownership,Name,,Role
,,1,4 SHADOW TREE LANE MEMBER CORP,,Managing Member
,,99,DJT HOLDINGS LLC,,Member
,,,,,
2,4 SHADOW TREE LANE MEMBER CORP *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,4 SHADOW TREE LANE LLC,1.00%,Managing Member,
,,,,,
3,"40 Wall Development Associates, LLC",,,,
,Owned by:,% Ownership,Name,,Role
,,0.1,"Parc Consulting, Inc",,Member
,,99.9,"Trump, Donald J.",,Member
,Has ownership interest in:,Entity Name,Ownership,Title,
,,40 Wall Street LLC,99.90%,Member,
,,,,,
4,40 WALL STREET COMMERCIAL LLC,,,,
,Owned by:,% Ownership,Name,,Role
,,100,40 Wall Street LLC,,Member
,,,,,
5,40 WALL STREET LLC,,,,
,Owned by:,% Ownership,Name,,Role
,,0.1,40 Wall Street Member Corp,,Managing Member
,,99.9,"40 Wall Development Associates, LLC",,Member
,Has ownership interest in:,Entity Name,Ownership,Title,
,,40 WALL STREET COMMERCIAL LLC,100%,Member,
,,,,,
6,40 WALL STREET MEMBER CORP *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,40 Wall Street LLC,0.10%,Managing Member,
,,,,,
7,401 MEZZ VENTURE LLC *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,1,TRUMP CHICAGO MANAGING MEMBER LLC,,Managing Member
,,49,TRUMP CHICAGO MEMBER LLC,,Member
,,50,TIHT CHICAGO MEMBER ACQUISITION LLC,,Member
,Has ownership interest in:,Entity Name,Ownership,Title,
,,401 North Wabash Venture LLC,100%,Member,
,,TRUMP CHICAGO RETAIL LLC,100%,Member,
,,,,,
8,401 NORTH WABASH VENTURE LLC,,,,
,Owned by:,% Ownership,Name,,Role
,,100,401 MEZZ VENTURE LLC,,Member
,Has ownership interest in:,Entity Name,Ownership,Title,
,,TRUMP COMMERCIAL CHICAGO LLC,100%,Member,
,,TRUMP PAYROLL CHICAGO LLC,100%,Managing Member,
,,,,,
9,809 NORTH CANON LLC,,,,
,Owned by:,% Ownership,Name,Role,
,,1,809 NORTH CANON MEMBER CORPORATION,Managing Member,
,,99,DJT HOLDINGS LLC,Member,
,,,,,
10,809 NORTH CANON MEMBER CORPORATION,,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity name,Ownership,Title,
,,809 NORTH CANON LLC,1.00%,Managing Member,
,,,,,
11,81 Pine Note Holder Inc *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,,,,,
12,845 UN Limited Partnership,,,,
,Owned by:,% Ownership,Name,,Role
,,60,Trump 845 LP LLC,,Partner
,,40,Trump 845 UN GP LLC,,Partner
,,,,,
13,Ace Entertainment Holdings Inc *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,,,,,
14,All County Building Supply & Maintenance Corp *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,25,"Trump, Donald J.",,Shareholder
,,75,Trump Family Members,,Shareholder
,,,,,
15,Aviation Payroll Company *(2),,,,
,Owned by:,%Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,,,,,
16,B. Plaza Realty Corp *(3),,,,
,Owned by:,% Ownership:,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,,,,,
17,Beach Haven Apartments #3 LLC *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,25,Donald J. Trump and Grantor Trust,,Member
,,75,Trump Family Members,,Member
,,,,,
18,"Beach Haven Apt #1, Inc *(1)",,,,
,Owned by:,% Ownership,Name,,Role
,,25,Donald J. Trump and Grantor Trust,,Shareholder
,,75,Trump Family Members,,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,"Starrett City Associates, LP",0.21%,Partner,
,,Spring Creek Plaza LLC,0.21%,Member,
,,,,,
19,Beach Haven Mgt. Corp *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,25,"Trump, Donald J.",,Shareholder
,,75,Trump Family Members,,Shareholder
,,,,,
20,Beach Haven Shopping Center LLC *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,25,"Trump, Donald J.",,Member
,,75,Trump Family Members,,Member
,,,,,
21,Bedford Hills Corp *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,Seven Springs LLC,0.10%,Member,
,,,,,
22,TRUMP BRIARCLIFF MANOR DEVELOPMENT LLC* (2),,,,
,Owned by:,% Ownership,Name,,Role
,,0.1,"BRIARCLIFF PROPERTIES, INC",,Member
